Date,Open,High,Low,Close,Volume,Adj Close
2017-03-17,25.80,25.90,25.70,25.85,23874000,25.85
2017-03-16,25.60,25.80,25.60,25.75,11673000,25.75
2017-03-15,25.55,25.65,25.50,25.60,10181000,25.60
2017-03-14,25.50,25.70,25.50,25.50,14793000,25.50
2017-03-13,25.50,25.60,25.35,25.45,9264000,25.45
2017-03-10,25.30,25.40,25.05,25.35,16186000,25.35
2017-03-09,25.65,25.65,25.35,25.35,23558000,25.35
2017-03-08,25.80,25.85,25.55,25.65,12859000,25.65
2017-03-07,25.70,25.90,25.60,25.90,8866000,25.90
2017-03-06,25.50,25.75,25.45,25.70,13046000,25.70
2017-03-03,25.60,25.75,25.50,25.55,14345000,25.55
2017-03-02,25.85,26.00,25.55,25.85,14238000,25.85
2017-03-01,26.00,26.00,25.70,25.70,16141000,25.70
2017-02-28,25.80,25.80,25.80,25.80,000,25.80
2017-02-27,25.80,25.80,25.80,25.80,000,25.80
2017-02-24,26.00,26.00,25.80,25.80,16318000,25.80
2017-02-23,26.15,26.15,25.95,26.10,13091000,26.10
2017-02-22,26.15,26.20,26.05,26.10,16234000,26.10
2017-02-21,26.10,26.20,26.00,26.10,17680000,26.10
2017-02-20,25.90,26.15,25.90,25.95,16192000,25.95
2017-02-17,25.90,26.00,25.80,25.90,14019000,25.90
2017-02-16,26.30,26.40,25.80,25.90,31207000,25.90
2017-02-15,25.70,26.30,25.70,26.30,67594000,26.30
2017-02-14,25.60,25.70,25.55,25.70,26523000,25.70
2017-02-13,25.60,25.65,25.45,25.60,14429000,25.60
2017-02-10,25.30,25.60,25.25,25.60,26592000,25.60
2017-02-09,25.05,25.30,25.05,25.25,14572000,25.25
2017-02-08,25.50,25.50,25.05,25.05,31207000,25.05
2017-02-07,25.50,25.55,25.45,25.50,11415000,25.50
2017-02-06,25.55,25.65,25.40,25.55,18571000,25.55
2017-02-03,25.50,25.70,25.35,25.55,27781000,25.55
2017-02-02,25.60,25.75,25.35,25.40,42206000,25.40
2017-02-01,25.30,25.30,25.30,25.30,000,25.30
2017-01-31,25.30,25.30,25.30,25.30,000,25.30
2017-01-30,25.30,25.30,25.30,25.30,000,25.30
2017-01-27,25.30,25.30,25.30,25.30,000,25.30
2017-01-26,25.30,25.30,25.30,25.30,000,25.30
2017-01-25,25.30,25.30,25.30,25.30,000,25.30
2017-01-24,25.25,25.40,25.20,25.30,17518000,25.30
2017-01-23,25.20,25.30,25.15,25.25,17856000,25.25
2017-01-20,25.00,25.10,24.95,25.10,11304000,25.10
2017-01-19,25.05,25.20,24.80,25.10,16518000,25.10
2017-01-18,24.95,25.30,24.90,25.10,20689000,25.10
2017-01-17,24.90,25.20,24.80,24.90,18198000,24.90
2017-01-16,25.10,25.10,24.80,24.90,8973000,24.90
2017-01-13,25.10,25.20,24.95,25.15,14024000,25.15
2017-01-12,25.05,25.35,25.00,25.10,23460000,25.10
2017-01-11,24.90,25.20,24.90,25.05,22399000,25.05
2017-01-10,24.55,24.70,24.50,24.55,8090000,24.55
2017-01-09,24.60,25.00,24.55,24.55,10135000,24.55
2017-01-06,25.00,25.00,24.65,24.70,11839000,24.70
2017-01-05,24.65,24.95,24.55,24.85,14723000,24.85
2017-01-04,24.60,24.70,24.50,24.70,10558000,24.70
2017-01-03,24.70,24.75,24.25,24.45,14915000,24.45
2017-01-02,24.65,24.65,24.65,24.65,000,24.65
2016-12-30,24.70,24.80,24.60,24.65,8641000,24.65
2016-12-29,24.70,24.75,24.50,24.50,11368000,24.50
2016-12-28,24.35,24.85,24.35,24.75,12472000,24.75
2016-12-27,24.35,24.35,24.10,24.25,13664000,24.25
2016-12-26,24.70,24.70,24.30,24.40,13636000,24.40
2016-12-23,24.80,24.90,24.60,24.60,15617000,24.60
2016-12-22,25.05,25.20,24.90,24.90,17539000,24.90
2016-12-21,25.55,25.60,25.20,25.20,13853000,25.20
2016-12-20,25.25,25.90,25.20,25.55,28183000,25.55
2016-12-19,25.25,25.40,24.90,24.95,16577000,24.95
2016-12-16,25.40,25.50,25.20,25.25,23482000,25.25
2016-12-15,25.60,25.60,25.40,25.55,14120000,25.55
2016-12-14,25.70,25.70,25.55,25.65,10805000,25.65
2016-12-13,25.65,25.70,25.55,25.70,19037000,25.70
2016-12-12,25.70,25.75,25.55,25.65,21257000,25.65
2016-12-09,25.65,25.70,25.45,25.55,24362000,25.55
2016-12-08,25.40,25.70,25.40,25.70,51331000,25.70
2016-12-07,25.30,25.35,25.15,25.25,16057000,25.25
2016-12-06,25.10,25.30,25.00,25.25,25018000,25.25
2016-12-05,25.00,25.05,24.70,24.95,15900000,24.95
2016-12-02,24.80,25.00,24.65,25.00,19658000,25.00
2016-12-01,25.00,25.00,24.50,24.90,26708000,24.90
2016-11-30,25.45,25.45,25.00,25.00,41912000,25.00
2016-11-29,25.55,25.55,25.30,25.45,25387000,25.45
2016-11-28,25.10,25.70,25.10,25.55,49082000,25.55
2016-11-25,24.80,25.30,24.75,25.10,64405000,25.10
2016-11-24,24.60,24.70,24.55,24.70,15096000,24.70
2016-11-23,24.65,24.70,24.50,24.60,21166000,24.60
2016-11-22,24.50,24.70,24.35,24.50,27936000,24.50
2016-11-21,24.05,24.50,24.00,24.50,20854000,24.50
2016-11-18,24.10,24.25,23.90,24.05,18643000,24.05
2016-11-17,23.95,24.30,23.90,24.30,22179000,24.30
2016-11-16,24.40,24.45,23.95,24.05,28841000,24.05
2016-11-15,24.40,24.85,24.35,24.40,34318000,24.40
2016-11-14,24.35,24.55,24.05,24.40,37733000,24.40
2016-11-11,24.45,24.90,24.20,24.50,62989000,24.50
2016-11-10,24.30,24.65,24.15,24.60,102422000,24.60
2016-11-09,23.70,24.40,23.20,23.40,78584000,23.40
2016-11-08,23.05,23.70,23.05,23.70,58488000,23.70
2016-11-07,22.75,23.10,22.75,22.95,36743000,22.95
2016-11-04,22.50,22.60,22.45,22.60,10734000,22.60
2016-11-03,22.40,22.60,22.35,22.45,10444000,22.45
