Date,Open,High,Low,Close,Volume,Adj Close
2017-03-17,189.50,191.50,189.00,191.50,33764000,191.50
2017-03-16,188.00,190.00,188.00,190.00,31507000,190.00
2017-03-15,185.50,187.00,185.50,186.50,14131000,186.50
2017-03-14,188.00,188.00,186.00,186.00,22245000,186.00
2017-03-13,185.00,186.50,185.00,186.50,10487000,186.50
2017-03-10,184.00,184.50,183.00,183.50,20053000,183.50
2017-03-09,185.50,186.00,184.00,184.50,28489000,184.50
2017-03-08,186.00,188.00,185.50,187.00,31791000,187.00
2017-03-07,184.00,185.50,184.00,185.50,18812000,185.50
2017-03-06,184.00,184.50,183.50,183.50,12531000,183.50
2017-03-03,184.50,185.00,184.00,184.00,28197000,184.00
2017-03-02,188.00,188.50,185.00,186.00,39980000,186.00
2017-03-01,188.50,188.50,186.00,186.00,46186000,186.00
2017-02-28,189.00,189.00,189.00,189.00,000,189.00
2017-02-27,189.00,189.00,189.00,189.00,000,189.00
2017-02-24,187.50,190.50,187.50,189.00,22766000,189.00
2017-02-23,188.00,189.50,187.00,188.50,35725000,188.50
2017-02-22,190.50,191.00,188.50,188.50,25677000,188.50
2017-02-21,190.00,190.00,188.50,190.00,31159000,190.00
2017-02-20,190.00,190.50,189.50,190.00,13254000,190.00
2017-02-17,190.00,190.50,189.00,189.50,20389000,189.50
2017-02-16,190.00,190.50,188.00,189.00,27018000,189.00
2017-02-15,187.00,189.50,186.50,189.00,39347000,189.00
2017-02-14,189.00,190.00,187.50,187.50,45696000,187.50
2017-02-13,186.50,188.00,186.50,187.50,25124000,187.50
2017-02-10,184.50,185.50,184.00,185.50,34747000,185.50
2017-02-09,184.00,185.50,183.50,184.00,18967000,184.00
2017-02-08,183.50,184.50,183.00,183.50,29168000,183.50
2017-02-07,183.50,185.00,183.00,184.50,23616000,184.50
2017-02-06,184.50,185.50,184.00,184.50,24779000,184.50
2017-02-03,186.00,186.00,183.50,184.50,29518000,184.50
2017-02-02,188.00,188.50,184.00,184.50,94089000,184.50
2017-02-01,185.50,185.50,185.50,185.50,000,185.50
2017-01-31,185.50,185.50,185.50,185.50,000,185.50
2017-01-30,185.50,185.50,185.50,185.50,000,185.50
2017-01-27,185.50,185.50,185.50,185.50,000,185.50
2017-01-26,185.50,185.50,185.50,185.50,000,185.50
2017-01-25,185.50,185.50,185.50,185.50,000,185.50
2017-01-24,185.00,186.50,184.50,185.50,55022000,185.50
2017-01-23,182.50,185.00,182.50,185.00,36992000,185.00
2017-01-20,181.00,181.50,180.50,181.00,23429000,181.00
2017-01-19,179.50,181.00,179.50,180.50,24627000,180.50
2017-01-18,180.50,181.00,179.50,181.00,23693000,181.00
2017-01-17,180.50,181.00,179.50,181.00,13159000,181.00
2017-01-16,180.00,180.50,179.00,179.50,30756000,179.50
2017-01-13,180.50,182.50,180.50,181.50,52352000,181.50
2017-01-12,182.50,185.50,182.50,184.50,41130000,184.50
2017-01-11,185.00,185.00,181.50,182.00,29107000,182.00
2017-01-10,184.50,185.50,183.50,184.00,20198000,184.00
2017-01-09,184.00,185.00,183.00,184.00,18569000,184.00
2017-01-06,184.00,184.50,183.50,184.00,22443000,184.00
2017-01-05,182.00,183.50,181.50,183.50,20979000,183.50
2017-01-04,183.00,184.00,181.50,183.00,24369000,183.00
2017-01-03,181.50,183.50,181.00,183.00,22630000,183.00
2017-01-02,181.50,181.50,181.50,181.50,000,181.50
2016-12-30,181.00,182.50,180.00,181.50,36610000,181.50
2016-12-29,180.00,181.50,180.00,180.00,30200000,180.00
2016-12-28,181.00,182.00,180.50,182.00,21226000,182.00
2016-12-27,180.00,180.50,179.50,180.00,8252000,180.00
2016-12-26,179.00,180.00,179.00,179.50,5675000,179.50
2016-12-23,179.00,180.00,178.50,178.50,22961000,178.50
2016-12-22,180.00,180.50,179.00,179.00,26269000,179.00
2016-12-21,181.00,182.00,180.00,180.00,29690000,180.00
2016-12-20,181.00,182.50,180.00,182.50,24139000,182.50
2016-12-19,184.00,184.50,182.50,182.50,20535000,182.50
2016-12-16,185.50,187.00,185.00,185.00,35985000,185.00
2016-12-15,185.00,187.50,184.50,187.00,22803000,187.00
2016-12-14,186.50,187.50,185.50,187.50,16571000,187.50
2016-12-13,186.50,186.50,184.50,186.00,23591000,186.00
2016-12-12,186.00,187.00,184.00,185.00,18796000,185.00
2016-12-09,186.00,186.00,184.50,186.00,24867000,186.00
2016-12-08,184.00,185.50,183.00,185.50,27257000,185.50
2016-12-07,183.00,183.50,181.50,181.50,14110000,181.50
2016-12-06,181.00,183.00,180.50,182.00,27309000,182.00
2016-12-05,178.00,180.00,178.00,179.00,29191000,179.00
2016-12-02,179.00,179.50,178.00,178.00,53836000,178.00
