Date,Open,High,Low,Close,Volume,Adj Close
2017-03-17,76.00,76.30,75.50,75.50,4340000,75.50
2017-03-16,76.60,76.90,75.80,75.80,4324000,75.80
2017-03-15,76.10,76.40,75.80,75.90,7305000,75.90
2017-03-14,76.10,76.80,76.00,76.20,5230000,76.20
2017-03-13,77.00,77.00,75.90,75.90,2998000,75.90
2017-03-10,76.40,76.70,74.70,76.50,6679000,76.50
2017-03-09,76.90,76.90,76.20,76.20,3266000,76.20
2017-03-08,77.50,77.50,76.80,76.90,2923000,76.90
2017-03-07,76.80,77.40,76.00,77.20,5354000,77.20
2017-03-06,78.40,78.40,74.50,76.40,16147000,76.40
2017-03-03,78.00,79.40,77.70,77.80,6602000,77.80
2017-03-02,78.50,78.80,77.50,77.70,4951000,77.70
2017-03-01,79.30,79.80,77.90,77.90,6864000,77.90
2017-02-28,78.90,78.90,78.90,78.90,000,78.90
2017-02-27,78.90,78.90,78.90,78.90,000,78.90
2017-02-24,78.00,79.40,77.80,78.90,5897000,78.90
2017-02-23,78.80,79.00,77.60,77.70,7768000,77.70
2017-02-22,80.00,80.00,78.30,78.40,9692000,78.40
2017-02-21,80.00,80.80,78.60,79.40,9106000,79.40
2017-02-20,78.50,82.50,77.80,79.10,23582000,79.10
2017-02-17,78.80,79.00,77.20,77.50,9208000,77.50
2017-02-16,80.10,81.00,78.50,78.50,16219000,78.50
2017-02-15,76.00,83.80,76.00,78.90,47110000,78.90
2017-02-14,77.30,78.10,76.10,76.20,8322000,76.20
2017-02-13,78.20,78.40,77.20,77.20,6439000,77.20
2017-02-10,77.40,78.70,77.00,77.00,8951000,77.00
2017-02-09,76.80,78.20,76.30,76.80,8502000,76.80
2017-02-08,77.10,77.60,76.20,76.80,7036000,76.80
2017-02-07,76.10,76.90,75.30,76.90,12011000,76.90
2017-02-06,77.60,80.00,77.60,78.60,7089000,78.60
2017-02-03,78.30,78.80,77.30,78.20,5843000,78.20
2017-02-02,80.00,80.00,77.60,78.30,7372000,78.30
2017-02-01,79.30,79.30,79.30,79.30,000,79.30
2017-01-31,79.30,79.30,79.30,79.30,000,79.30
2017-01-30,79.30,79.30,79.30,79.30,000,79.30
2017-01-27,79.30,79.30,79.30,79.30,000,79.30
2017-01-26,79.30,79.30,79.30,79.30,000,79.30
2017-01-25,79.30,79.30,79.30,79.30,000,79.30
2017-01-24,78.70,79.90,78.70,79.30,4385000,79.30
2017-01-23,78.80,79.60,78.50,78.70,8303000,78.70
2017-01-20,81.00,81.80,79.60,79.60,5840000,79.60
2017-01-19,82.10,82.40,80.40,80.40,5788000,80.40
2017-01-18,79.40,82.30,79.40,82.10,12683000,82.10
2017-01-17,79.40,79.90,79.10,79.50,2355000,79.50
2017-01-16,78.90,79.10,78.10,78.80,3132000,78.80
2017-01-13,80.00,80.40,79.10,79.10,3570000,79.10
2017-01-12,79.50,80.50,79.50,79.50,4715000,79.50
2017-01-11,78.50,79.70,78.00,79.40,4583000,79.40
2017-01-10,78.50,78.80,77.50,78.60,6219000,78.60
2017-01-09,80.60,80.60,78.60,79.20,9588000,79.20
2017-01-06,81.80,81.90,81.00,81.20,3251000,81.20
2017-01-05,82.50,82.80,81.10,81.30,6361000,81.30
2017-01-04,79.70,82.70,79.60,81.80,16729000,81.80
2017-01-03,79.20,79.60,78.80,79.20,2985000,79.20
2017-01-02,79.00,79.00,79.00,79.00,000,79.00
2016-12-30,78.00,79.30,78.00,79.00,3922000,79.00
2016-12-29,77.80,78.40,77.70,77.80,2623000,77.80
2016-12-28,77.70,78.80,77.60,78.30,4375000,78.30
2016-12-27,78.00,78.90,77.50,78.10,3517000,78.10
2016-12-26,77.00,78.30,77.00,78.00,3998000,78.00
2016-12-23,78.00,78.10,76.80,77.20,6588000,77.20
2016-12-22,79.30,79.80,77.70,78.10,9421000,78.10
2016-12-21,80.50,80.50,79.20,79.90,5299000,79.90
2016-12-20,79.90,80.60,79.30,80.50,5296000,80.50
2016-12-19,79.50,80.40,79.00,79.10,3910000,79.10
2016-12-16,80.00,81.00,79.50,79.50,5559000,79.50
2016-12-15,79.50,80.00,79.10,79.80,5856000,79.80
2016-12-14,80.90,81.50,80.00,80.00,5799000,80.00
2016-12-13,80.90,81.50,80.60,80.60,4802000,80.60
2016-12-12,82.00,82.50,81.00,81.10,4343000,81.10
2016-12-09,80.60,82.30,79.00,81.90,10090000,81.90
2016-12-08,80.60,81.10,80.10,80.30,6482000,80.30
2016-12-07,80.50,81.50,80.10,80.10,13789000,80.10
2016-12-06,83.30,83.90,82.70,82.80,4219000,82.80
2016-12-05,82.50,83.20,81.40,82.60,4982000,82.60
2016-12-02,83.80,83.90,82.00,82.40,6419000,82.40
2016-12-01,85.00,86.40,84.40,84.40,8899000,84.40
2016-11-30,84.50,85.50,83.50,84.30,10425000,84.30
2016-11-29,83.90,85.30,82.90,84.60,7392000,84.60
2016-11-28,83.20,84.10,82.80,83.90,5284000,83.90
2016-11-25,83.80,84.10,82.70,82.70,4835000,82.70
2016-11-24,82.80,83.50,81.70,83.50,7900000,83.50
2016-11-23,83.00,83.40,82.20,82.70,6135000,82.70
2016-11-22,82.50,83.90,81.70,81.70,8374000,81.70
2016-11-21,83.00,83.50,82.10,82.50,8400000,82.50
2016-11-18,79.90,85.20,79.10,84.00,19484000,84.00
2016-11-17,79.50,79.80,77.70,79.30,6069000,79.30
2016-11-16,78.80,79.90,78.40,79.30,9488000,79.30
2016-11-15,76.80,78.80,76.80,78.40,7936000,78.40
2016-11-14,79.00,79.40,75.80,76.80,19836000,76.80
2016-11-11,81.20,82.80,79.50,80.40,13395000,80.40
2016-11-10,84.20,84.30,82.30,84.30,8867000,84.30
2016-11-09,86.50,86.80,80.50,80.60,15429000,80.60
2016-11-08,85.00,85.90,84.60,85.70,6492000,85.70
2016-11-07,84.40,84.90,83.20,84.40,9475000,84.40
2016-11-04,85.50,86.00,83.40,85.50,14761000,85.50
2016-11-03,91.30,92.60,86.20,86.20,22595000,86.20
2016-11-02,92.10,92.50,91.30,92.40,7442000,92.40
2016-11-01,92.00,92.40,90.60,91.80,6511000,91.80
2016-10-31,93.20,93.70,92.20,92.40,8030000,92.40
2016-10-28,93.80,93.90,91.60,92.40,8683000,92.40
2016-10-27,94.60,94.60,91.80,92.50,10976000,92.50
2016-10-26,92.70,94.80,92.60,93.70,14267000,93.70
2016-10-25,94.20,94.90,91.50,91.90,11163000,91.90
2016-10-24,95.20,95.90,94.10,94.40,6644000,94.40
2016-10-21,94.30,94.80,93.20,94.70,9928000,94.70
2016-10-20,95.60,96.40,93.20,93.60,15598000,93.60
2016-10-19,93.30,94.90,92.80,94.70,17142000,94.70
2016-10-18,92.30,94.70,91.80,92.20,16995000,92.20
2016-10-17,92.00,92.00,89.60,91.20,7478000,91.20
2016-10-14,90.00,92.30,89.50,91.20,12522000,91.20
2016-10-13,93.90,94.40,90.30,90.30,16252000,90.30
2016-10-12,95.20,96.00,93.20,93.20,23018000,93.20
2016-10-11,92.20,94.80,91.30,94.80,32245000,94.80
2016-10-10,89.70,89.70,89.70,89.70,000,89.70
2016-10-07,93.00,93.30,89.70,89.70,25653000,89.70
2016-10-06,86.50,89.30,86.20,89.10,14389000,89.10
2016-10-05,87.50,87.60,86.40,86.40,7351000,86.40
2016-10-04,87.10,88.20,86.50,87.30,9573000,87.30
2016-10-03,88.10,89.40,87.10,87.10,11735000,87.10
2016-09-30,85.90,88.00,84.80,87.30,17851000,87.30
2016-09-29,85.00,88.80,84.50,86.40,21621000,86.40
2016-09-28,83.60,83.60,83.60,83.60,000,83.60
2016-09-27,83.60,83.60,83.60,83.60,000,83.60
2016-09-26,85.00,85.00,83.50,83.60,6728000,83.60
2016-09-23,85.10,86.00,84.20,84.40,8578000,84.40
2016-09-22,86.40,87.90,84.60,84.80,18662000,84.80
2016-09-21,80.00,86.70,79.60,85.10,28595000,85.10
2016-09-20,82.80,83.20,80.00,80.40,17633000,80.40
2016-09-19,76.00,82.80,75.40,82.80,21919000,82.80
2016-09-16,75.60,75.60,75.60,75.60,000,75.60
2016-09-15,75.60,75.60,75.60,75.60,000,75.60
2016-09-14,78.00,78.90,74.10,75.60,25842000,75.60
2016-09-13,82.50,82.50,79.00,79.20,13964000,79.20
2016-09-12,82.30,83.10,81.00,81.40,7168000,81.40
2016-09-09,83.20,84.90,83.20,83.90,5480000,83.90
2016-09-08,84.20,85.20,84.20,85.00,5035000,85.00
2016-09-07,86.20,87.20,85.00,85.20,13796000,85.20
2016-09-06,84.20,84.50,83.30,84.20,7202000,84.20
2016-09-05,83.40,84.60,81.40,83.80,11370000,83.80
2016-09-02,85.30,85.30,82.20,82.60,10787000,82.60
2016-09-01,85.10,87.00,84.50,84.90,14122000,84.90
2016-08-31,83.90,85.00,82.10,83.70,13483000,83.70
2016-08-30,83.90,85.20,83.50,84.20,11697000,84.20
2016-08-29,87.60,87.60,83.50,83.90,18442000,83.90
2016-08-26,86.50,88.20,86.50,87.50,10056000,87.50
2016-08-25,87.70,89.20,86.10,86.60,18295000,86.60
2016-08-24,89.80,90.30,87.60,87.90,10519000,87.90
2016-08-23,90.40,91.30,88.20,89.20,16063000,89.20
2016-08-22,96.00,96.00,90.00,90.40,21746000,90.40
2016-08-19,99.60,99.60,96.00,96.00,7619000,96.00
2016-08-18,98.50,99.10,97.80,97.90,5578000,97.90
2016-08-17,100.50,101.50,99.00,99.00,11562000,99.00
2016-08-16,99.50,101.00,99.10,99.20,11860000,99.20
2016-08-15,97.40,98.40,96.40,98.40,4918000,98.40
2016-08-12,98.00,99.00,97.30,97.30,5699000,97.30
2016-08-11,98.20,98.40,96.00,97.30,6678000,97.30
2016-08-10,99.60,99.90,97.50,98.20,7714000,98.20
2016-08-09,101.00,102.00,98.40,98.50,10139000,98.50
2016-08-08,104.00,104.50,101.00,101.00,12833000,101.00
2016-08-05,99.50,103.50,99.50,102.50,37253000,102.50
2016-08-04,98.00,99.30,97.20,98.30,10212000,98.30
2016-08-03,95.80,98.10,95.70,97.90,18473000,97.90
2016-08-02,95.70,99.90,95.50,97.90,28043000,97.90
2016-08-01,96.40,96.40,95.20,95.70,11436000,95.70
